Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y
January 2015,166302682.0,181834199.0,2238694.0,35.3,798.4618615591398,59929.5120967742,55088.059274193554,31.68,31.67967741935484
February 2015,155342139.0,169561960.0,5484017.0,88.0,2028.6407600596124,60619.01169895678,55779.82011922504,36.69,36.69464285714286
March 2015,169030231.0,178454891.0,11434309.0,139.1,3912.0753355704696,55808.05328859061,52940.064496644285,31.3,31.29774193548387
April 2015,154113340.0,160907650.0,17741556.0,224.5,6088.122569444445,49431.06864583333,47402.39395833333,29.78,29.77833333333333
May 2015,151195903.0,157742225.0,17646277.0,187.0,6146.898891129033,46881.89862231183,44649.82150537634,25.33,25.32967741935484
June 2015,144282328.0,157080291.0,18211293.0,205.4,6601.70625,48166.38423611111,43510.02090277777,30.11,30.109
July 2015,159101320.0,165570368.0,19670012.0,245.1,6794.070866935484,49022.24364919355,46671.23904569892,34.98,34.979032258064514
August 2015,156216438.0,160031293.0,18450285.0,246.3,6355.0970094086015,47595.40178091398,46138.47802419355,31.61,31.61290322580645
September 2015,155865463.0,161457668.0,12906267.0,139.9,4606.702777777778,51565.73989583333,49508.43048611112,31.89,31.888666666666666
October 2015,161485166.0,171355194.0,7784481.0,99.4,2769.057358870968,54801.3901545699,51432.36969086022,39.37,39.36870967741935
November 2015,163451047.0,173864719.0,4545935.0,67.5,1521.9327083333335,58559.980763888896,55245.80173611111,32.38,32.38133333333334
December 2015,165071295.0,170109019.0,3403718.0,65.2,1101.9772881355932,55638.66214397667,54351.06091750957,27.79,27.786129032258064
January 2016,165999055.0,180283749.0,2683523.0,49.4,887.2425403225806,59543.88360215054,54902.93518145162,29.03,29.0258064516129
February 2016,160421792.0,171671729.0,5028578.0,60.2,1938.255603448276,59695.77248563218,55686.69852729885,22.0,21.99793103448276
March 2016,163961621.0,175266530.0,9945575.0,99.1,3231.517002688172,55608.67852822581,51914.69798387097,24.3,24.299032258064518
April 2016,150598368.0,162494443.0,15855805.0,158.6,5395.9487500000005,51118.99420138888,46876.95545138889,24.21,24.21066666666667
May 2016,149426480.0,160731863.0,19915804.0,219.5,6583.960584677419,47637.56743951613,43643.43323252688,22.55,22.550967741935484
June 2016,150414626.0,158883937.0,19106740.0,190.7,6404.965173611111,48479.454513888886,45822.78826388889,27.7,27.705
July 2016,154457288.0,162251494.0,19771246.0,201.3,6727.958467741935,47857.31740591397,45159.40147849462,27.18,27.181290322580644
August 2016,152276298.0,160634631.0,18879573.0,227.2,6452.474596774193,47629.2432123656,44730.98847446237,27.18,27.181612903225805
September 2016,151658720.0,157836440.0,15393647.0,215.2,5381.696631944445,49408.51583333333,47269.61454861111,30.51,30.51033333333333
October 2016,159994362.0,169457610.0,6718892.0,61.4,2367.395866935484,54483.10608198925,51339.99052419355,37.14,37.141290322580645
November 2016,167282955.0,177979446.0,4083534.0,60.3,1500.6322222222225,60220.610034722224,56597.75003472222,38.21,38.214000000000006
December 2016,166725186.0,178199264.0,3167754.0,64.5,1140.1341132587318,58662.15862566862,54864.41501308535,37.47,37.47064516129032
January 2017,176245538.0,189674476.0,3193689.0,73.0,989.043817204301,62516.05779569892,58253.22567204301,52.41,52.40612903225807
February 2017,163758898.0,168989355.0,5939903.0,68.7,2127.1674479166663,60435.62555803572,58791.79494047619,39.68,39.68035714285714
March 2017,172077001.0,177904603.0,12922394.0,148.4,4230.608198924731,55274.934879032255,53640.10517473118,31.69,31.692580645161293
April 2017,152798720.0,160228092.0,15427605.0,153.2,5382.035520833334,50096.93833333333,47658.2003125,28.72,28.721
May 2017,158266669.0,164367586.0,20481368.0,223.9,6640.556619623656,48285.31344086021,46557.978192204304,30.61,30.60903225806452
June 2017,154348182.0,157576939.0,21467550.0,241.2,7583.9946875,47209.42565972224,46004.28791666667,30.0,30.004
July 2017,159230327.0,162072710.0,19545352.0,196.3,6563.367002688172,47838.2967405914,46938.80712365591,33.01,33.005806451612905
August 2017,155627962.0,160675628.0,18411149.0,206.5,6219.901579301076,47752.43454301075,46076.8281922043,30.86,30.85516129032258
September 2017,152484754.0,159870244.0,12317145.0,121.1,4379.2257291666665,51141.92263888889,48548.75916666666,34.3,34.29766666666667
October 2017,163110205.0,169879488.0,8521266.0,97.1,2748.470194892473,54042.85053763441,52020.87953629033,28.29,28.28903225806452
November 2017,171254798.0,176817366.0,3324124.0,38.9,1273.8055902777778,60102.7703125,58200.60642361111,40.38,40.37966666666667
December 2017,173526282.0,179109177.0,1981664.0,27.8,719.8095318860244,59311.022428546414,57572.95236327527,30.71,30.71
January 2018,179797650.0,186057461.0,2920558.0,33.2,930.9693548387096,61483.59842069892,59501.71586021505,29.5,29.501612903225805
February 2018,165817790.0,171836574.0,7321978.0,113.7,2745.926339285714,61168.358035714286,58952.889062500006,40.12,40.1225
March 2018,177922815.0,184054004.0,10815662.0,112.6,3467.267103494624,58220.87701612903,56347.598219086016,37.36,37.35935483870968
April 2018,154310036.0,160888536.0,19348181.0,225.6,6662.890937499999,49145.06628472222,46922.12333333333,31.96,31.96066666666667
May 2018,156966087.0,162179481.0,23725915.0,287.7,8000.15063844086,46525.75957661291,44740.42594086022,33.66,33.6583870967742
June 2018,157397799.0,161299928.0,21349288.0,218.2,7422.582777777778,48584.260625,47228.47309027778,42.39,42.39366666666667
July 2018,161983045.0,163775618.0,24667595.0,311.4,8358.952217741935,46762.19079301075,46088.49835349462,49.59,49.59064516129032
August 2018,162783556.0,164844757.0,20733857.0,248.9,7022.039583333333,48413.85732526881,47667.06078629032,56.22,56.21612903225807
September 2018,157307652.0,160855463.0,16277268.0,206.5,5636.4956250000005,50195.834652777776,48981.45434027778,54.76,54.75866666666666
October 2018,167758827.0,172726244.0,10994336.0,157.2,3805.7160618279568,54299.88991935484,52513.72399193548,53.08,53.082258064516125
November 2018,169217298.0,174248168.0,4683822.0,75.1,1778.5453125,58879.13434027778,56980.09652777778,56.68,56.681
December 2018,167604882.0,174252846.0,2098638.0,25.2,732.141485753053,57829.98791549037,55576.45979112867,48.11,48.11032258064516
January 2019,176775678.0,185751437.0,2980086.0,44.0,1021.6173387096776,61405.66246639785,58394.57274865591,49.41,49.413225806451614
February 2019,160700754.0,165412057.0,8765069.0,128.9,3138.077235469449,58282.28621460506,56653.6424366617,42.81,42.81428571428571
March 2019,167893622.0,174654148.0,12099502.0,113.2,3947.5575503355694,54588.24909395973,52503.47714765101,30.61,30.616129032258065
April 2019,150816097.0,157895903.0,19972329.0,227.9,7192.468541666666,47726.48208333332,45170.90232638888,36.97,36.973
May 2019,152721800.0,162497609.0,20019257.0,179.6,6506.390322580645,47844.704334677415,44812.17231182796,37.83,37.832258064516125
June 2019,145434562.0,152469591.0,25849480.0,308.1,8955.977604166666,43987.586875,41544.72461805555,32.5,32.504666666666665
July 2019,161134754.0,163742879.0,22938334.0,232.4,7689.071001344087,47313.54670698925,46462.90729166667,39.71,39.71258064516129
August 2019,154000170.0,158218830.0,21114242.0,226.9,7046.825537634409,46062.56172715055,44688.34156586022,36.82,36.81870967741936
September 2019,152083619.0,157624713.0,15656718.0,162.8,5347.123888888889,49307.661875,47472.47934027778,35.77,35.76533333333334
October 2019,162833713.0,169461398.0,9715809.0,107.6,3340.078125,53608.33985215054,51320.26367607527,36.95,36.94741935483871
November 2019,164130573.0,172064059.0,4193336.0,43.8,1540.5377777777778,58268.04722222222,55446.97305555555,41.0,41.00533333333333
December 2019,166640250.0,169672037.0,3732091.0,59.0,1201.3768238887003,55726.145556591626,54793.38436562743,31.97,31.97
January 2020,175043453.0,181296381.0,4387566.0,59.2,1430.764818548387,59466.69899193549,57397.76922043011,34.98,34.979032258064514
February 2020,167179119.0,172517607.0,6684693.0,63.9,2376.0606681034483,59542.04823994253,57665.34066091954,21.91,21.91241379310345
March 2020,171732015.0,171356079.0,16416290.0,175.8,5532.803091397849,52084.51760752688,52238.34573252688,22.52,22.52
April 2020,147709858.0,146099609.0,25268855.0,292.4,8801.674722222222,41905.35927083333,42470.948854166665,17.05,17.049333333333333
May 2020,148652596.0,148437234.0,24786148.0,240.5,8283.755107526882,41491.48837365592,41653.63692876344,17.6,17.60483870967742
June 2020,144314517.0,145788728.0,22875310.0,214.7,7969.3665972222225,42673.56041666666,42152.07576388889,26.23,26.228
July 2020,151433907.0,153824688.0,25137319.0,232.9,8314.14502688172,43229.566666666666,42568.38316532258,30.07,30.074838709677422
August 2020,149563086.0,154023564.0,21754172.0,221.6,7344.797580645161,44435.79391801075,42914.2313844086,34.89,34.88967741935484
September 2020,148975894.0,154704255.0,18518957.0,207.1,6460.350555555556,47313.12479166666,45278.00125,43.68,43.678666666666665
October 2020,165261031.0,170812591.0,8651469.0,67.4,2971.015759408602,54451.35255376344,52494.47802419354,33.96,33.95483870967742
November 2020,164936192.0,170868726.0,6068159.0,85.7,2226.0057291666667,57232.89638888889,55055.17434027777,38.8,38.796
December 2020,165598704.0,171831344.0,2740057.0,34.8,912.3055291723202,56819.563033211874,54721.981029967465,43.55,43.54548387096774
January 2021,169915903.0,182525776.0,2451561.0,30.0,857.581754032258,60510.37647849463,56244.07379032258,52.79,52.79258064516129
February 2021,160035472.0,167035499.0,7973911.0,107.3,2980.0973214285714,59133.211495535725,56553.11231398809,48.71,48.70821428571429
March 2021,169141915.0,179519435.0,16532683.0,146.7,5417.380107526881,54795.01145833333,51480.79858870969,47.18,47.181612903225805
April 2021,154461323.0,164219830.0,21853638.0,183.5,7470.915208333334,49415.6688888889,46155.18378472222,53.66,53.658
May 2021,160765038.0,160913911.0,23590114.0,168.4,7799.07002688172,46159.98067876344,46224.185752688165,53.33,53.33193548387096
June 2021,155280313.0,157916815.0,28505310.0,257.2,9897.399131944445,44980.23100694444,44027.72951388888,74.13,74.13066666666667
July 2021,159518785.0,162517035.0,24980117.0,198.6,8577.549596774194,46232.22301747312,45003.61696908601,81.29,81.29483870967742
August 2021,156065524.0,157580988.0,21113982.0,156.7,7089.911727150537,45881.992540322586,45366.0595766129,82.81,82.81225806451613
September 2021,156094245.0,158040997.0,19211241.0,174.3,6859.165104166666,48241.43371527777,47350.07704861112,128.34,128.33566666666667
October 2021,169338742.0,172884926.0,12885158.0,128.0,4357.82627688172,53737.17778897849,52469.4970766129,139.54,139.54322580645163
November 2021,169834059.0,175579010.0,4456975.0,42.7,1649.748784722222,59436.09559027778,57338.76190972223,176.25,176.24666666666664
December 2021,176148155.0,179615008.0,2872849.0,37.9,936.2229308005428,59395.13716388731,58234.11470360807,220.96,220.9564516129032
January 2022,179088096.0,185148316.0,3789213.0,41.2,1337.060315860215,60883.83568548388,58856.24838709677,167.87,167.87483870967742
February 2022,166760943.0,169271596.0,8937174.0,85.0,3287.361495535714,59651.17191220239,58749.99925595238,128.78,128.77714285714288
March 2022,173051198.0,175688794.0,22337958.0,235.2,7550.36938844086,51710.05769489247,50660.67110215053,251.76,251.75870967741935
April 2022,159157168.0,160516455.0,22938710.0,190.4,7469.363611111111,47929.80378472223,47772.48510416667,166.0,166.00233333333333
May 2022,157308249.0,159540198.0,30266917.0,247.7,9934.28487903226,43725.44543010753,42934.40067204301,177.51,177.50548387096774
June 2022,150123550.0,149450769.0,31826968.0,278.8,10652.756666666666,40966.80864583334,41475.46597222221,218.18,218.18233333333333
July 2022,156762819.0,153470146.0,31300989.0,265.8,10643.057325268815,40925.241969086026,42018.91253360215,315.26,315.2625806451613
August 2022,154908560.0,149813656.0,28876703.0,272.8,9928.615423387097,40556.51374327957,42132.28306451613,469.35,469.3470967741936
September 2022,154042409.0,149422737.0,18927531.0,152.3,6528.801527777778,45314.87770833334,46966.45670138889,360.18,360.17966666666666
October 2022,168142765.0,154182780.0,14131631.0,141.1,4874.151646505376,46992.72993951613,51561.58350134409,157.78,157.7774193548387
November 2022,168034929.0,159098445.0,6745025.0,75.3,2413.421736111111,52872.96340277777,55938.353715277786,175.45,175.44733333333335
December 2022,168862688.0,163651589.0,2589550.0,38.8,1046.4746947082767,54580.80554932449,55682.09405529172,256.66,256.658064516129
January 2023,175639057.0,168611815.0,3332866.0,32.2,1245.4367271505378,55474.75527553764,57789.62778897849,135.59,135.58774193548388
February 2023,156073058.0,152552302.0,9316379.0,89.2,3393.005394345238,53240.783593750006,54666.20948660714,128.39,128.39178571428573
March 2023,170443975.0,163499634.0,15029024.0,99.7,4766.193581989247,49945.25517473119,52560.322513440864,102.4,102.40032258064517
April 2023,148610619.0,144578742.0,22085578.0,151.0,7483.623125,42674.31694444444,44100.08440972222,100.83,100.83233333333332
May 2023,149541966.0,145272838.0,31998939.0,249.3,10595.20806451613,38287.30702284946,39663.04939516127,81.65,81.64741935483872
June 2023,146633728.0,141940928.0,35636601.0,304.1,12315.20048611111,37143.51479166668,38593.16951388889,94.84,94.83966666666667
July 2023,143965172.0,145056494.0,30815530.0,227.6,10388.472244623656,38507.44472446236,37978.78575268818,77.48,77.48258064516129
August 2023,140875701.0,145204478.0,26149234.0,185.5,8811.900504032257,40069.62093413978,38532.40883736559,94.41,94.41387096774191
September 2023,138706886.0,143231190.0,26359321.0,246.6,9263.435833333331,40542.04958333333,38882.22079861111,100.73,100.72633333333332
October 2023,150243164.0,155188281.0,13375837.0,100.0,4542.166700268817,47571.687903225815,45906.46646505377,87.32,87.31645161290322
November 2023,157514809.0,164363096.0,5609602.0,38.8,2023.1962152777776,55100.95406249999,52681.51284722222,91.18,91.17966666666666
December 2023,161298004.0,163997120.0,3160724.0,29.1,1087.4190217391304,53959.786547741496,53097.427080411406,68.38,68.37483870967742
January 2024,169580450.0,176381993.0,5870393.0,69.7,2009.521505376344,57313.22258064517,54989.4366263441,76.63,76.63548387096773
February 2024,157747389.0,159827644.0,9052347.0,51.2,3251.9116379310344,54152.5433908046,53405.136889367815,61.36,61.35655172413793
March 2024,159348281.0,160770407.0,19604796.0,120.3,6483.432493279571,47462.294522849465,47098.49643817204,64.66,64.66419354838709
April 2024,150003318.0,144732688.0,26607734.0,151.6,8693.593888888889,41023.67180555556,43394.16708333333,62.39,62.393
May 2024,149199298.0,140954515.0,34256739.0,215.3,11233.92752016129,35858.39579973118,38906.07456317204,67.28,67.28451612903227
June 2024,146887657.0,144702774.0,35142963.0,210.1,12585.143541666666,38040.80836805556,38415.22152777779,72.89,72.89
July 2024,151822977.0,150906256.0,37850255.0,236.5,12993.181485215056,38003.33393817204,38025.53491263441,67.71,67.71032258064515
