Datum (MEZ),Solar,Solar Prognose (Day-Ahead D-1 18:00)
2024-09-04T17:00+02:00,13205.9,13460.6,15315.5
2024-09-04T17:15+02:00,11539.3,11763.7,13319.2
2024-09-04T17:30+02:00,9818.4,10016.6,11250.9
2024-09-04T17:45+02:00,8151.5,8300.1,9244.1
2024-09-04T18:00+02:00,6584,6684.3,7388.8
2024-09-04T18:15+02:00,5043.8,5093.2,5623.1
2024-09-04T18:30+02:00,3603.6,3594.7,3995.7
2024-09-04T18:45+02:00,2375.9,2328,2613.2
2024-09-04T19:00+02:00,1432.1,1366.2,1596.3
2024-09-04T19:15+02:00,772.5,732.6,884.6
2024-09-04T19:30+02:00,372,352.2,442.4
2024-09-04T19:45+02:00,130.7,122.8,178.5
2024-09-04T20:00+02:00,29.8,27.4,77.2
2015-01-01T00:00+01:00,0,0
2015-01-01T00:15+01:00,0,0
2015-01-01T00:30+01:00,29.8,27.4,77.2